fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones,,
24/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
24/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ]",,
24/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 16. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
25/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%",,
25/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ]",,
25/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 16. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
26/09/2024,Balcarce,San Luis,19/09/2024,Extinguido (26/09 /2024),32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
26/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB,VV. Quines, Lujan, San Francisco, Potrero de Los Funes, Estancia Grande y La Punta. Tipo: rrhh. Subtipo: bomberos. Cantidad: 37. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]",,
26/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC SNMF. Tipo: rrhh. Cantidad: 16. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos - FUERA DE CONTROL",,
27/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. Cantidad: 37. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]",,
27/09/2024,Las Lagunas/ Potrerillos,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 16. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
28/09/2024,La Aguada,San Luis,20/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. Cantidad: 37. ] [ Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]",,
28/09/2024,Las Lagunas/ Potrerillos,San Luis,18/09/2024,Contenido,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. Perímetro estabilizado",,
